# id:20302508  0-200,wumin
0,-525.2567769
1,-517.0206646
2,200.7818954
3,-129.7524189
4,-1006.220333
5,443.7995524
6,168.8408408
7,279.8520226
8,760.3629672
9,223.5387262
10,-410.9877921
11,531.1084752
12,-98.91524741
13,-534.9640883
14,-437.7000847
15,-1010.243625
16,-196.4631597
17,-507.7292818
18,-79.30886
19,305.2811686
20,-177.7080284
21,-568.0103365
22,-102.2989322
23,-597.7713331
24,141.7813354
25,84.49993948
26,927.544952
27,-1013.320615
28,-274.961898
29,1220.935894
30,-43.60310511
31,-134.7434648
32,-353.2506809
33,414.8641423
34,162.348557
35,288.0313446
36,-380.7097247
37,-484.499934
38,-208.2128271
39,456.6306041
40,-491.7411808
41,502.7112013
42,-88.95729892
43,-498.1133635
44,33.99836049
45,-491.0851057
46,412.1140842
47,-122.3094029
48,-124.487829
49,97.4253617
50,-458.6264373
51,-476.7701186
52,1089.73106
53,504.7874754
54,-1033.033748
55,712.6343365
56,728.0295258
57,-605.594241
58,520.2293418
59,720.724334
60,216.1083583
61,31.4443056
62,-79.63268595
63,-852.5629512
64,-102.5822396
65,1470.560901
66,529.9304384
67,288.2551872
68,445.783506
69,213.6197122
70,832.6720712
71,-332.0147105
72,352.3618438
73,189.0878159
74,584.2934839
75,779.9856718
76,1175.161497
77,555.6573336
78,125.5946779
79,433.8124041
80,-313.1340555
81,1345.239048
82,127.3183143
83,-58.47181318
84,1129.640939
85,-503.2891596
86,-393.1723418
87,230.1698373
88,1077.057893
89,1070.871017
90,294.8127787
91,719.7953458
92,1127.330985
93,737.2804959
94,958.7684501
95,598.467176
96,968.0662459
97,-19.69300195
98,522.4326661
99,194.9890468
100,-279.3091551
101,442.1743592
102,937.1012619
103,1030.822995
104,368.6602548
105,221.6392879
106,905.0931706
107,105.049375
108,-206.2556689
109,1492.35274
110,283.4185223
111,1758.094006
112,157.927875
113,-193.292175
114,447.2360665
115,823.7832231
116,158.5652275
117,1037.74467
118,1394.055972
119,176.3717574
120,162.6853619
121,1094.82735
122,922.0214006
123,1376.611231
124,944.4553572
125,712.1826785
126,1417.918629
127,1193.48489
128,-230.8359645
129,1334.916941
130,824.4384647
131,1493.523409
132,1538.595382
133,428.8281505
134,302.2226672
135,1013.591884
136,897.7512344
137,532.3170544
138,769.185906
139,1594.492296
140,801.5501079
141,1620.762093
142,840.5271456
143,1007.856154
144,1073.956659
145,129.7903397
146,1938.560642
147,1761.942722
148,1538.848247
149,1467.456997
150,1945.889915
151,449.8781194
152,1225.703164
153,834.1871116
154,1311.913243
155,457.9197425
156,861.7959327
157,1494.509608
158,1393.200773
159,762.8362087
160,1103.463029
161,1227.953716
162,1569.166591
163,754.1027657
164,721.0661793
165,1039.209531
166,1056.123009
167,1234.182178
168,1274.798549
169,846.4713347
170,1227.04595
171,1096.934552
172,943.1088804
173,1622.973197
174,1449.900372
175,954.9063999
176,1193.153121
177,2175.434467
178,1474.340276
179,824.1833288
180,1527.711575
181,1610.542049
182,1469.225289
183,1490.383422
184,1614.203673
185,1072.383789
186,1367.212459
187,2046.250481
188,2136.39827
189,1291.824735
190,846.0694294
191,1482.830408
192,2124.329337
193,1231.726858
194,1189.150856
195,1609.897005
196,1632.169509
197,1474.801475
198,1273.835573
199,673.5885625
200,754.796278
201,1638.814178
202,1547.617706
203,1685.712679
204,2294.504773
205,1513.569577
206,1916.107494
207,1322.05611
208,965.51015
209,1206.249208
210,1278.750325
211,1590.907787
212,1284.848252
213,877.9270663
214,880.0351061
215,2108.392241
216,1719.721789
217,1541.274537
218,1880.391415
219,1883.125946
220,1635.965983
221,2384.896195
222,1834.28304
223,2212.00732
224,1947.430642
225,1276.215828
226,1155.090474
227,2015.581407
228,1841.88602
229,2401.620013
230,1666.956463
231,1191.550987
232,1496.877097
233,2004.10098
234,1042.365891
235,1403.350881
236,1800.187896
237,1055.10681
238,1602.519986
239,1700.911051
240,936.123009
241,3072.717774
242,2081.189249
243,1969.441121
244,2928.641509
245,2140.524224
246,2142.561839
247,2041.727435
248,1953.424846
249,929.731046
250,2567.853765
251,1299.704412
252,2752.488125
253,1704.544334
254,1499.978902
255,2632.533858
256,1789.08941
257,995.0102124
258,1749.025008
259,3131.646086
260,1165.049618
261,3062.775907
262,2536.044422
263,1219.297146
264,1147.723094
265,2475.075125
266,2588.014268
267,2877.006738
268,1593.159583
269,2971.235766
270,2413.792694
271,1320.980722
272,2827.024982
273,2186.100781
274,2538.882061
275,1585.688729
276,2433.499426
277,2262.022289
278,2434.415167
279,1453.158035
280,2183.301476
281,1066.842634
282,2140.649922
283,2406.79774
284,2706.605396
285,1585.545235
286,1559.183248
287,1346.475598
288,1676.20513
289,2708.719626
290,2314.218643
291,2222.297184
292,2290.492123
293,2176.801362
294,2259.584125
295,2372.625097
296,2743.339251
297,2013.946274
298,2180.409076
299,1932.928677
300,2505.922849
301,2539.223702
302,3527.613675
303,3363.325427
304,2003.470574
305,2396.940629
306,2220.347428
307,2033.234152
308,2875.451226
309,2491.629544
310,2554.467531
311,2765.780986
312,3330.385781
313,2524.347839
314,3314.183247
315,2019.598341
316,2587.02533
317,2318.764749
318,2845.008979
319,2294.088901
320,1671.240892
321,2687.754928
322,1824.177506
323,1866.256129
324,3255.162466
325,2311.629245
326,1796.024479
327,2851.139845
328,2100.52261
329,2273.762974
330,2324.563637
331,3611.045399
332,2738.896953
333,2238.381567
334,1719.001878
335,3260.590156
336,3454.288963
337,1902.585786
338,3407.137646
339,2952.450518
340,3484.557723
341,2462.15912
342,2570.994218
343,2703.638053
344,2425.435362
345,3001.248336
346,3371.794319
347,2515.913812
348,1778.440728
349,3645.161051
350,3555.003286
351,1241.430391
352,2933.832075
353,2929.015655
354,2566.677294
355,2792.299531
356,3183.22375
357,2997.883541
358,1558.703152
359,2770.09889
360,3525.890122
361,3630.40982
362,2727.711276
363,3361.691409
364,2665.718456
365,3318.258378
366,3123.533588
367,3628.888409
368,2669.175288
369,2696.716426
370,3938.043746
371,3337.179962
372,3586.533468
373,2746.027628
374,2144.271663
375,2233.379831
376,2113.295362
377,2705.841606
378,2859.10166
379,2874.7083
380,2673.529436
381,3041.408026
382,3131.450015
383,3031.933971
384,2832.319532
385,3391.882255
386,1442.593332
387,3008.108032
388,3175.497016
389,4271.154968
390,4298.7627
391,2943.643877
392,3077.738155
393,3651.52956
394,3460.166625
395,3147.782361
396,4056.306064
397,3445.583397
398,3936.204329
399,4079.854611
400,3511.579987
401,3764.924367
402,2989.234597
403,3573.232002
404,4152.228872
405,3526.678303
406,3661.971248
407,3810.623213
408,3042.035894
409,3684.136691
410,3135.592935
411,3229.089968
412,3976.777315
413,2753.631776
414,4279.356076
415,4032.11031
416,3993.489908
417,3393.429627
418,3531.151433
419,3145.62909
420,2477.137856
421,3533.780254
422,3866.841677
423,3568.861213
424,4064.705
425,3673.881268
426,3026.458276
427,3766.228155
428,3718.326791
429,3924.162168
430,4166.060439
431,3302.388372
432,3037.624496
433,4212.722776
434,4185.364997
435,3811.741537
436,3809.328392
437,3509.559888
438,3777.613853
439,3610.638589
440,3934.85031
441,4268.404522
442,3414.179777
443,3447.971159
444,3834.742736
445,3498.79668
446,4147.330684
447,3631.945315
448,3964.278126
449,3241.472296
450,3825.385276
451,3045.492292
452,3430.883311
453,4714.544839
454,3517.038681
455,3494.749582
456,3318.67323
457,3710.024172
458,3894.831433
459,2935.266449
460,3399.144347
461,3144.257882
462,3603.119427
463,5278.874501
464,3901.200328
465,3566.025932
466,3986.829852
467,4202.657571
468,3389.329815
469,3747.752962
470,3092.744541
471,3393.861402
472,3492.969041
473,4175.391612
474,3890.967698
475,4672.997868
476,3330.272347
477,3700.861125
478,4180.795408
479,3718.920073
480,3790.384779
481,4145.653358
482,3691.795776
483,4839.115715
484,2894.396534
485,4680.50819
486,4120.060412
487,3109.241504
488,4132.964218
489,3115.164699
490,4238.748988
491,4199.040727
492,4068.682424
493,4645.853979
494,3666.436027
495,3570.143599
496,4304.003859
497,4496.138996
498,4107.272841
499,4139.887485
500,4563.301264
501,4283.296382
502,4076.882471
503,4367.420513
504,4661.670161
505,4327.893598
506,4040.511731
507,3972.328399
508,3536.244896
509,4490.699342
510,4712.686997
511,5100.024038
512,4605.729031
513,4065.193142
514,4823.35108
515,4709.202547
516,4355.118164
517,4248.215545
518,4143.590289
519,2998.120006
520,4667.445061
521,4760.784678
522,3897.077612
523,4252.787078
524,3999.623033
525,4059.096127
526,4541.766658
527,4660.700949
528,4386.906312
529,3390.459724
530,4479.785259
531,4794.113282
532,4328.935612
533,4194.979637
534,4460.800744
535,4431.441971
536,3770.434148
537,3862.500109
538,4788.585014
539,4685.459059
540,4271.3548
541,4754.165164
542,4878.538469
543,4515.744691
544,5146.899744
545,4454.254363
546,4016.497471
547,4595.80928
548,5146.31606
549,4378.22666
550,5626.596085
551,4931.691101
552,4179.539904
553,4290.548402
554,4895.419602
555,5103.452806
556,4402.354786
557,3873.801434
558,4386.701711
559,4408.611888
560,4776.751933
561,5760.926372
562,5056.823694
563,5177.645525
564,4189.972282
