#id=20302508,,
0.01,-0.18,-0.416208552
0.75,-0.66,-1.340924133
0.83,0.42,-0.236955818
-0.51,-0.25,-0.462725077
0.98,0.72,-0.386897305
-0.39,0.66,0.405076109
-0.12,-0.6,-0.875881323
0.69,0.68,0.268275369
0.39,-0.87,-0.918506459
-0.13,-0.52,-0.411081381
-0.72,-0.4,-1.178776512
0.37,0.44,0.492951843
-0.33,-0.83,-0.951178912
-0.98,0.36,-0.454831834
-0.24,0.43,0.226202895
-0.49,0.77,0.371913826
-0.76,-0.75,-1.301613394
-0.89,-0.93,-2.013471252
0.68,-0.4,-0.761392748
-0.18,0.65,0.687513923
-0.69,0.44,0.140091363
0.3,0.2,0.166447642
0.85,-0.02,-0.612110343
-0.12,0.23,0.242644938
0.12,0.75,0.507870867
0.71,0.4,-0.08002338
-0.65,0.08,-0.26402561
-0.17,0.03,0.023662174
0.25,-0.15,-0.220512127
-0.62,-1,-0.980133122
-0.72,-0.11,-0.71720237
0.78,-0.48,-0.720076662
0.14,0.89,0.901212711
-0.4,-0.19,-0.234344793
-0.52,0.42,0.154806614
-0.54,-0.2,-0.249193238
-0.14,0.76,0.863809876
1,-0.3,-1.303775426
-0.26,-0.13,0.227704021
0.94,0.87,-0.089849895
-0.38,0.64,0.727798714
0.26,-0.02,-0.008952816
-0.28,-0.91,-0.930718824
-1,0.97,0.063895372
-0.05,-0.62,-0.660845576
0.98,0.23,-0.669194811
0.28,0.75,0.4296983
0.76,-0.58,-1.43410748
0.63,-0.65,-0.67965207
0.24,-0.9,-1.510289919
0.78,0.7,0.464082791
-0.1,-0.37,-0.385649957
0.46,-0.1,-0.464470074
0.34,-0.8,-1.042704242
0.77,0.27,-0.591090016
-0.94,-0.61,-1.600056192
-0.09,0.32,0.147780397
0.37,0.63,0.374416189
0.42,0.37,-0.129467851
0.6,-0.64,-0.564399709
0.76,0.57,-0.148825195
0.59,0.03,-0.592370488
0.31,0.34,0.133679292
0.46,-0.06,-0.277796578
0.7,-0.3,-0.796175426
0.04,0.47,1.050382948
-0.61,0.95,0.348328622
-0.9,0.86,-0.085294315
-0.15,0.44,0.446656339
-0.95,-0.39,-1.420007098
-0.29,-0.89,-1.16029553
0,0.62,0.577672486
0.44,-0.63,-0.502244361
0.25,-0.15,-0.242008383
0.74,-0.16,-1.052714908
0.21,0.5,0.303473967
-0.6,-0.2,-0.256425438
-0.47,0.72,0.299198569
-0.86,0.99,0.09508913
-0.35,0.84,0.786549757
-0.32,0.7,0.581643449
0.3,0.08,-0.023624312
0.65,0.4,-0.228288943
-0.07,-0.51,-0.607820737
-0.16,-0.01,0.075963744
0.11,0.55,0.269000738
